f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,class
11.176,13.902,16.445,6.062,16.405,1.963,3.984,9.166,10.445,8.55,-3.457,-6.847,-0.325,1.154,-1.228,3.779,12.692,-2.212,11.508,12.692,-9.638,21.103,0.738,0.461,B,G
8.082,11.228,7.68,3.206,15.731,1.57,3.888,9.806,11.886,9.511,16.414,-5.411,-2.538,-0.771,1.516,6.516,8.173,4.247,1.556,8.173,-16.622,24.694,0.251,0.425,A,F
9.576,12.468,13.438,5.314,13.283,3.814,5.072,9.67,10.912,8.296,-11.974,2.726,6.726,0.596,-2.191,2.809,1.377,0.455,0.177,1.377,-6.014,4.019,0.21,0.147,A,D
30.038,8.253,19.379,4.816,17.042,3.981,2.218,9.709,11.708,9.921,2.661,3.885,7.969,1.766,1.831,7.106,7.746,1.757,2.931,7.746,-18.1,26.279,0.334,8.421,E,A
12.014,8.289,21.213,10.99,12.896,0.274,4.593,7.225,11.862,7.862,22.123,-5.522,-1.833,3.712,11.562,-0.915,-5.155,-5.688,0.078,-5.155,-16.673,7.818,0.1,8.5,C,J
9.104,13.329,7.095,5.488,15.556,3.43,5.077,8.841,10.476,8.313,18.009,-1.149,-0.319,0.053,3.69,8.69,6.43,4.75,0.436,6.43,-18.037,24.205,0.134,8.835,C,H
15.317,12.963,15.061,2.47,18.075,2.071,4.295,17.368,6.596,21.909,-2.441,3.096,13.587,2.765,0.554,11.823,27.035,-11.962,48.705,-4.673,-16.583,8.22,2.434,7.788,J,C
9.768,10.854,8.467,14.935,9.515,3.205,4.697,11.583,13.561,16.193,0.192,1.348,1.652,0.775,0.276,5.276,-21.318,-14.247,3.761,-7.366,-9.582,0.66,2.387,4.117,H,A
7.537,10.898,6.079,12.762,14.527,2.472,2.934,17.549,6.307,19.872,-14.061,0.506,12.756,2.626,-3.637,11.13,-7.592,-20.161,8.912,-4.317,-17.391,9.455,0.971,0.151,A,H
8.921,8.45,14.898,4.589,15.43,2.099,3.726,25.004,7.322,20.671,-4.661,-6.023,15.224,3.037,-1.831,13.187,-5.284,-2.108,1.132,-5.284,-16.306,7.318,0.393,7.572,E,I
8.968,13.901,9.653,2.871,15.919,3.463,3.237,12.045,8.447,19.064,2.203,3.322,6.644,1.607,1.212,6.037,-7.802,-15.613,4.366,-0.374,-13.877,9.924,0.663,6.846,F,E
7.074,11.297,6.776,5.796,12.82,2.785,5.112,14.61,11.955,17.014,-18.016,-2.581,2.866,0.978,-5.913,-0.913,2.184,-9.025,7.505,-18.016,-9.3,5.147,1.208,0.424,B,G
9.03,11.984,7.457,11.948,10.898,3.126,4.572,16.785,8.725,19.4,-4.773,1.776,7.637,1.773,-0.787,4.213,-13.207,-13.996,0.14,-4.773,-15.297,6.828,0.143,3.412,B,A
13.923,15.249,13.651,4.794,17.083,3.877,5.548,8.539,12.385,8.382,-0.694,3.937,3.844,1.431,0.409,5.409,11.568,8.123,1.279,11.568,-23.475,41.488,0.176,9.874,D,B
13.27,11.425,14.484,16.451,4.646,3.319,0.245,12.321,9.419,15.463,-6.704,-0.634,2.786,1.083,-2.274,2.726,-17.895,-10.047,4.397,-6.704,-14.666,4.493,0.989,8.242,H,I
9.113,10.805,9.328,14.488,2.476,2.447,2.24,7.064,11.652,7.945,-9.745,7.56,11.56,-0.439,0.381,5.381,-14.059,-7.669,3.231,14.12,-19.943,39.761,0.285,0.548,A,C
12.487,11.015,16.274,14.037,1.712,2.357,4.369,15.787,4.427,20.725,-11.267,-7.861,6.163,1.527,-6.425,-1.425,-3.966,-11.757,4.349,-11.267,-7.448,1.493,1.707,4.94,H,I
7.68,11.579,9.766,6.805,16.368,3.716,4.649,6.622,11.252,6.784,8.396,-7.463,-4.944,-0.113,-1.344,3.656,3.33,-17.263,18.69,-3.045,-20.883,15.067,1.114,6.306,H,E
13.808,9.469,19.852,5.771,15.625,2.416,3.405,6.282,10.631,7.021,0.156,1.765,5.765,1.516,0.578,2.225,-11.059,-18.304,3.901,-12.709,-24.439,8.036,0.697,0.594,B,G
8.292,11.24,6.612,13.19,5.539,3.399,0.077,12.225,8.676,12.566,-0.81,1.561,5.295,1.382,0.114,5.114,-6.582,-14.178,4.187,-0.81,-3.749,1.008,2.038,3.223,H,D
7.356,10.097,8.838,9.288,13.324,2.068,5.456,6.173,10.867,6.092,-15.809,1.908,5.908,-0.089,-3.491,1.509,-7.246,-13.481,3.114,-15.809,-16.001,0.017,13.562,9.817,J,F
7.506,10.458,8.414,17.437,1.977,1.813,4.123,9.802,13.814,16.948,-5.091,-2.048,3.168,1.028,-2.46,2.54,-11.711,-6.201,2.586,-5.091,-3.113,0.556,2.156,4.198,H,I
6.538,10.733,9.823,12.948,15.542,3.651,2.484,15.284,11.357,15.03,-12.99,-0.541,5.267,1.378,-3.806,1.194,3.681,-10.9,11.136,-11.677,-10.313,0.318,5.914,0.019,A,D
21.518,5.452,21.975,6.973,18.773,3.15,4.069,9.543,13.719,8.419,21.047,-6.065,-2.098,3.605,11.023,3.21,16.077,1.767,10.827,16.077,-15.269,35.1,0.555,4.589,E,G
13.65,8.36,21.273,12.008,10.705,0.135,4.841,21.801,5.255,19.01,0.447,-7.32,11.572,1.45,-3.272,1.728,7.539,4.821,0.896,7.539,-22.999,33.75,0.163,5.133,C,J
15.294,12.569,15.308,16.201,5.208,3.419,0.263,19.174,5.851,19.608,-11.073,-0.697,8.494,1.916,-3.392,1.608,-7.186,-6.37,0.147,-11.073,-8.195,0.977,0.389,2.433,C,D
12.098,11.039,17.015,10.864,14.651,3.98,2.84,6.897,13.546,8.9,-14.446,5.244,9.244,0.912,-1.76,3.24,23.626,3.543,18,23.626,-7.772,35.188,0.715,0.621,B,B
13.393,10.22,17.866,13.329,12.011,3.537,3.032,23.978,9.458,19.443,0.859,-2.06,9.284,2.047,-0.977,4.023,6.449,-15.271,20.244,0.859,-19.296,18.097,1.058,5.687,G,F
15.059,9.888,17.695,14.865,5.823,3.066,2.348,8.322,11.869,6.157,-8.523,3.338,7.338,0.69,-1.073,3.927,-19.321,-26.548,3.886,-8.523,-15.664,3.816,1.009,8.991,H,H
14.728,5.713,19.864,11.443,11.148,1.617,4.202,9.628,11.936,6.86,4.949,-3.225,-4.612,1.995,2.974,-0.777,0.201,-10.792,7.289,-16.402,-7.203,5.579,1.143,9.902,I,I
16.48,8.943,20.77,16.807,1.899,1.284,5.972,14.734,8.812,17.612,-6.849,-2.48,4.381,2.54,-3.079,1.921,-1.921,-1.419,0.071,-6.849,-3.927,0.999,0.267,3.306,C,B
12.669,15.568,15.322,10.687,12.306,3.802,2.443,15.991,11.327,12.303,-24.681,2.775,5.422,1.049,-5.347,-0.347,-13.973,-7.538,3.265,16.558,-19.043,42.483,0.277,7.267,D,H
7.129,12.222,8.867,10.234,14.68,3.72,3.134,20.147,9.949,19.967,-12.161,6.312,6.39,1.565,-0.744,5.825,-13.414,-21.643,4.721,-12.161,-25.87,10.151,0.682,4.198,E,I
9.08,15.022,15.064,16.741,5.46,1.764,3.083,7.961,11.964,8.543,-8.961,-2.428,-0.975,1.359,-3.585,1.415,13.004,-12.771,26.172,-8.961,-1.01,4.484,2.416,3.045,H,D
14.779,14.679,14.249,3.178,18.621,3.053,3.121,28.574,8.33,20.941,-3.43,-1.635,5.971,1.495,-1.215,5.476,11.362,1.092,6.582,11.362,-15.94,28.532,0.48,4.966,E,A
6.485,13.026,8.811,7.231,10.07,2.77,4.55,10.648,14.651,13.283,-13.086,-5.485,1.523,0.754,-5.89,-0.89,-8.692,-8.896,0.018,-8.692,-20.082,7.688,0.049,9.421,B,A
8.26,13.259,6.891,14.012,12.627,2.846,0.57,20.095,4.176,21.413,-3.609,-0.77,5.963,1.494,-1.557,3.443,-5.001,-7.728,0.901,-5.001,-7.015,0.572,1.255,4.069,G,D
6.083,13.546,7.288,4.278,18.278,0.134,5.377,17.563,4.564,19.787,2.43,-7.869,7.63,1.772,-3.005,6.858,4.364,3.448,0.175,4.364,-33.013,45.702,0.062,9.428,C,B
8.403,10.2,7.835,17.336,5.409,3.145,1.867,27.184,5.026,19.415,-9.466,10.536,8.153,1.859,1.69,6.69,-5.733,-18.46,9.081,-9.466,-7.555,0.528,4.145,3.794,I,A
8.294,11.411,7.555,16.63,1.397,0.328,3.284,18.695,5.784,20.031,-9.987,-2.332,5.891,1.482,-3.802,1.198,4.659,-16.123,18.948,-9.987,-3.212,3.528,2.318,7.92,I,J
11.32,13.783,16.541,12.035,10.531,3.14,0.042,12.072,15.247,17.623,-12.336,2.677,5.577,0.777,-2.302,2.698,-4.413,-13.113,5.133,-12.336,-8.12,1.731,1.722,8.671,I,B
9.25,14.715,13.966,17.921,5.618,2.884,5.691,9.263,13.962,9.667,-10.254,-14.061,-9.178,1.415,-8.756,-3.756,-8.555,-9.438,0.166,-10.254,-10.306,0.002,8.403,0.053,B,E
23.67,6.266,20.153,12.603,12.936,0.727,3.447,13.963,10.347,15.309,-4.675,-9.744,4.157,1.503,-5.562,-0.562,-5.675,-16.147,6.777,-4.675,-5.175,0.071,9.796,8.76,J,D
13.787,7.722,19.128,8.969,13.758,3.274,5.353,6.269,10.723,8.899,0.276,-0.818,3.182,1.528,0.638,0.742,10.293,-10.09,18.405,-9.506,-8.033,0.357,7.177,9.35,J,F
13.163,5.761,20.658,17.056,2.318,2.607,4.619,8.329,10.359,9.205,-6.659,-1.552,-0.241,1.766,-2.645,2.355,-11.043,-20.062,5.417,-6.659,-8.76,0.609,2.982,7.843,J,J
8.679,14.249,15.984,8.28,10.522,1.582,5.698,20.654,5.778,21.861,-21.428,-3.068,11.133,2.356,-6.968,9.778,-12.411,-23.199,7.087,-10.3,-18.436,4.641,1.236,0.256,B,D
27.124,7.437,19.927,3.53,14.72,2.39,0.38,12.223,8.286,21.86,11.877,4.874,6.981,2.688,6.439,6.318,6.856,-12.235,16.684,-7.204,-24.964,14.968,1.056,4.789,G,A
13.969,12.241,14.647,11.099,12.942,1.871,4.936,11.913,9.539,16.401,-3.8,-2.803,1.458,0.733,-2.451,2.549,9.886,-14.731,24.428,-3.8,-13.706,6.236,1.979,3.865,H,I
19.014,8.944,21.996,5.506,11.714,0.996,3.331,10.141,13.984,15.803,6.879,-10.428,5.062,2.188,3.939,-3.06,19.426,-9.704,31.445,-8.727,-7.588,0.243,11.368,9.321,J,H
8.398,10.876,7.073,1.991,15.263,1.282,3.936,12.725,12.529,13.604,2.446,-5.986,4.011,1.169,-2.216,3.843,-7.954,-19,7.342,-12.644,-13.634,0.197,6.102,8.863,J,E
11.115,11.971,12.827,9.172,13.312,3.266,4.939,8.661,13.05,7.587,-18.056,-4.916,-4.708,1.064,-6.896,-1.896,3.133,-3.319,3.277,3.133,-16.608,17.542,0.432,4.973,E,F
21.377,8.083,21.455,12.211,14.325,2.957,5.642,13.948,13.852,14.476,14.194,-7.904,0.752,2.919,7.597,-2.013,-20.076,-7.163,9.281,7.512,-20.119,29.049,0.565,0.203,A,C
8.654,8.806,12.71,4.652,18.35,2.509,1.974,8.629,10.202,9.769,-7.814,6.17,4.375,0.719,1.561,6.561,-9.34,-7.939,0.332,-9.34,-12.6,1.177,0.531,8.41,F,C
8.024,12.362,9.816,16.104,5.03,2.703,3.952,8.716,15.047,17.224,-6.633,-0.073,3.058,1.01,-2.022,2.978,-29.148,-6.326,21.805,7.953,-12.939,19.098,1.069,8.659,H,F
12.355,8.935,17.653,11.276,11.889,3.519,3.7,12.584,6.172,19.922,-3.714,-2.863,8.974,1.996,-2.455,2.545,-9.46,-5.675,1.472,-9.46,-2.859,3.392,0.659,4.673,E,H
9.656,12.088,12,3.061,16.658,3.276,3.271,8.52,13.909,7.242,-3.489,-1.447,-2.309,1.151,-1.245,5.458,-19.412,-11.121,4.775,-2.069,-7.792,2.738,1.321,9.707,I,H
8.993,12.394,13.044,3.247,15.082,1.52,5.553,6.367,12.414,6.08,-2.049,-3.218,-2.897,1.295,-0.524,4.55,12.619,-1.983,11.159,12.619,-10.789,22.651,0.702,0.489,B,G
8.735,8.1,15.778,10.735,5.426,3.052,0.03,9.392,9.786,15.804,-0.457,7.408,5.34,1.392,2.639,7.639,-6.536,-7.507,0.191,-6.536,-4.52,0.573,0.578,2.461,D,H
10.184,14.376,12.366,14.46,3.316,2.851,2.87,8.762,11.643,14.118,-11.684,1.127,2.294,1.225,-2.785,2.215,-2.541,-2.373,0.014,-11.684,-6.738,2.2,0.079,6.523,B,D
9.2,11.334,7.323,15.42,2.152,2.02,4.145,6.738,12.858,6.211,-11.395,-9.815,0.198,-0.717,-7.272,-2.272,-3.255,-12.109,5.269,-11.395,-7.141,1.755,1.733,3.925,H,A
7.624,11.823,8.097,3.959,17.612,2.862,0.775,31.976,7.936,19.727,5.493,5.296,12.503,2.584,0.864,10.919,-28.73,-17.576,7.451,-12.811,-6.966,2.826,1.624,0.127,A,J
19.658,8.643,20.367,18.187,4.826,3.634,5.177,14.603,13.547,17.821,-8,6.332,3.846,2.814,0.305,5.305,-10.166,-7.677,0.786,-8,-6.658,0.311,1.589,4.568,H,H
27.958,6.438,21.179,18.316,5.051,0.42,5.627,6.563,12.974,7.792,-6.711,-2.313,-5.11,2.586,-2.975,2.025,-0.515,-0.862,0.041,-6.711,-3.996,0.895,0.214,0.268,A,H
6.527,12.746,8.525,6.932,15.118,3.728,1.914,6.456,10.891,6.472,5.611,5.367,20.727,0.472,8.039,13.039,0.896,-1.243,0.625,0.896,-15.69,13.51,0.215,3.329,C,C
10.344,10.962,13.387,9.757,10.701,1.219,3.98,6.358,12.175,7.866,-21.282,-11.061,-2.99,0.848,-10.262,-5.262,-14.964,-9.166,2.792,4.8,-21.083,26.336,0.326,3.052,C,G
7.519,13.343,9.782,16.105,1.935,3.159,4.313,6.271,11.567,9.181,-6.628,11.496,15.496,0.281,2.8,7.8,1.629,-0.334,0.55,-6.628,-4.395,0.667,0.908,9.005,H,G
9.097,13.986,8.651,11.277,6.345,1.079,5.07,7.238,13.824,7.078,-0.92,-9.601,-7.264,0.082,-4.564,0.436,-14.589,-14.519,0.004,-0.92,-11.91,7.287,0.023,0.515,A,B
7.114,11.673,7.09,18.323,6.998,3.933,5.018,6.592,10.723,9.294,-8.983,-3.319,-5.779,0.328,-3.962,1.038,-0.324,0.242,0.085,-8.983,-4.184,2.103,0.201,3.217,C,I
30.304,7.973,19.667,15.586,5.835,3.276,5.599,6.734,12.358,6.925,-8.398,1.898,5.898,2.926,-1.642,3.358,-6.26,-19.023,9.119,-8.398,-7.316,0.225,6.365,4.67,J,I
27.638,9.578,20.465,16.43,3.317,0.139,4.117,12.963,4.493,19.547,-11.642,-5.63,6.648,2.164,-5.59,-0.59,-12.238,-21.687,5.809,-11.642,-28.515,13.861,0.647,9.106,G,E
6.394,10.882,7.168,14.528,8.471,2.823,1.459,8.721,10.989,8.147,-0.06,2.833,6.833,-0.142,0.832,5.832,-4.637,-14.78,6.46,-0.06,-2.417,0.724,2.988,9.871,J,H
7.453,10.272,7.36,3.569,16.37,2.79,3.218,6.918,11.061,8.015,2.466,-8.77,-2.985,-0.904,-3.371,1.629,-6.131,-22.363,13.079,-4.059,-14.998,7.236,1.344,8.661,I,A
8.759,13.959,7.171,15.046,1.587,2.958,4.182,8.707,10.019,9.71,-10.262,-13.56,-4.236,0.124,-8.549,-3.549,-0.501,-1.823,0.304,-10.262,-6.572,1.417,0.463,4.501,E,H
20.436,8.135,20.204,2.97,18.642,3.265,2.639,26.527,4.367,19.357,13.133,7.815,8.51,2.813,7.067,7.592,-13.643,-8.898,2.067,7.285,-8.38,12.399,0.408,6.06,E,C
29.801,6.488,20.954,10.428,14.141,3.841,1.132,24.453,9.388,19.448,13.185,3.229,13.701,2.819,7.093,11.918,-8.274,-14.865,3.385,0.117,-16.088,13.048,0.509,5.829,E,G
10.117,13.162,13.152,3.194,15.676,1.571,5.602,19.462,8.842,21.41,-7.369,-5.631,6.432,1.572,-3.185,5.86,4.625,-1.759,3.226,4.625,-12.664,14.378,0.474,8.055,F,F
12.966,12.109,17.958,9.056,15.548,3.565,5.516,8.688,11.119,9.034,-12.203,-3.971,-7.208,1.06,-5.039,-0.039,-4.224,-12.617,4.863,-12.203,-7.968,1.743,1.67,9.22,I,J
15.318,12.812,13.175,12.6,11.471,3.246,3.337,12.548,8.606,17.754,-1.001,2.63,3.987,1.187,0.512,5.512,-2.064,-2.404,0.04,-1.001,-1.882,0.165,0.489,0.534,B,B
9.998,12.23,7.396,14.132,10.764,3.414,5.89,28.95,6.106,20.682,-1.713,0.202,10.797,2.3,-0.677,4.323,-12.195,-8.193,1.601,16.802,-13.544,33.433,0.219,4.894,C,J
25.044,4.136,19.7,15.801,1.833,3.409,3.503,18.59,8.081,19.979,-6.123,-5.541,12.777,3.743,-4.173,0.827,-9.293,-7.167,0.62,-6.123,-5.629,0.069,2.987,8.506,J,E
9.356,11.287,8.408,9.728,14.803,1.801,3.486,26.632,4.816,21.872,-15.515,-4.266,10.098,2.183,-5.99,8.915,-5.88,-14.346,4.927,-15.515,-14.977,0.079,7.903,9.005,J,F
7.862,10.008,7.72,3.868,16.712,2.994,4.365,15.602,8.378,20.526,5.575,5.345,6.677,1.613,1.372,6.064,-11.808,-11.223,0.09,2.781,-10.146,9.296,0.098,2.483,B,B
7.273,11.767,8.098,16.111,6.74,2.501,3.006,18.727,4.223,21.268,-5.489,8.295,17.818,3.47,1.751,6.751,-13.512,-10.402,1.097,2.939,-15.733,16.136,0.261,10,E,C
6.141,10.225,8.644,1.839,17.002,1.324,3.56,28.431,5.378,20.21,22.798,-1.213,9.922,2.154,4.86,8.769,0.73,-1.63,0.725,0.73,-12.553,9.682,0.274,8.052,E,E
30.001,5.907,21.715,13.462,10.219,2.645,3.298,21.827,9.22,21.013,-2.587,-9.541,6.45,2.07,-4.955,0.045,2.687,-13.391,12.894,-8.119,-18.297,6.494,1.409,7.685,I,A
19.601,4.233,20.831,13.907,12.936,2.556,4.483,20.676,7.605,19.861,-0.412,2.265,15.785,2.032,0.508,5.508,0.416,-11.492,8.219,-0.412,-0.002,0.052,12.518,8.752,J,F
8.337,10.396,6.58,7.237,15.647,3.516,4.152,8.539,15.954,12.76,-12.403,3.676,2.095,0.849,-1.902,3.098,-9.692,-18.625,5.34,-12.403,-21.959,5.908,0.951,9.951,H,J
7.215,13.694,6.318,12.368,8.877,1.847,5.323,23.339,6.892,21.708,-4.876,-4.287,7.306,1.718,-3.338,1.662,7.338,3.671,1.405,7.338,-2.106,5.805,0.492,0.916,B,F
9.445,10.803,7.279,11.592,11.583,1.542,5.763,13.539,15.414,16.488,-14.709,-5.727,5.242,1.374,-6.397,-1.397,-9.372,-7.043,0.711,-9.372,-9.221,0.012,7.811,0.634,G,E
22.409,7.543,19.172,6.162,15.325,3.678,2.281,12.225,8.012,17.427,6.515,9.254,2.964,2.151,3.757,8.694,-24.244,-19.654,1.967,-14.543,-5.889,5.091,0.622,8.775,G,E
16.751,4.421,19.16,2.21,18.48,1.929,3.211,14.313,7.102,21.02,2.151,-4.681,11.489,1.715,1.575,10.074,-15.478,-16.974,0.366,-8.094,-8.537,0.059,2.491,3.99,H,G
6.03,11.231,8.774,14.217,10.956,2.122,5.879,25.627,6.223,19.864,-1.487,-2.333,9.332,2.055,-1.677,3.323,-0.706,-11.289,6.886,-1.487,-1.1,0.048,11.941,4.594,J,G
21.475,7.731,21.649,16.213,4.07,3.252,3.824,7.029,13.764,7.502,-7.251,4.281,8.281,2.354,-0.362,4.638,-19.796,-7.365,8.766,6.879,-14.513,19.787,0.666,4.968,F,H
6.33,11.326,7.921,16.063,3.404,3.802,0.658,9.032,10.196,6.187,-6.672,5.668,9.668,0.097,0.36,5.36,-6.965,-19.013,8.363,-6.672,-6.818,0.011,27.286,0.141,F,I
